step,loss_value_function,loss_FOC_g,loss_FOC_a,loss_FOC_d,loss_FOC_S_g,loss_FOC_S_a,elapsed_time
131000,4.48070e-01,1.91868e-01,2.39300e-01,6.04117e-03,8.67672e-03,8.24321e-02,739
132000,4.46491e-01,1.92546e-01,2.44213e-01,6.63047e-03,8.20198e-03,8.12812e-02,744
133000,4.48467e-01,1.85978e-01,2.28952e-01,6.01120e-03,8.15748e-03,7.86617e-02,750
134000,4.52538e-01,2.06272e-01,2.25430e-01,6.37082e-03,9.52062e-03,8.34423e-02,755
135000,4.45263e-01,2.01470e-01,2.37167e-01,5.87857e-03,7.19209e-03,7.39185e-02,761
136000,4.44970e-01,2.11075e-01,2.47316e-01,6.55107e-03,7.45812e-03,7.68628e-02,766
137000,4.40891e-01,1.89345e-01,2.34808e-01,6.04148e-03,6.58605e-03,7.18199e-02,771
138000,4.47430e-01,2.03860e-01,2.41812e-01,5.78018e-03,7.81203e-03,7.64303e-02,777
139000,4.41410e-01,2.12169e-01,2.20418e-01,6.31012e-03,6.50993e-03,7.17686e-02,782
140000,4.48751e-01,2.05850e-01,2.54838e-01,6.48192e-03,8.40466e-03,7.83155e-02,788
141000,4.47139e-01,2.10960e-01,2.28048e-01,6.41336e-03,7.65944e-03,7.66300e-02,793
142000,4.41191e-01,2.03346e-01,2.18340e-01,6.64505e-03,6.10823e-03,6.73596e-02,799
143000,4.51106e-01,1.85051e-01,2.39924e-01,5.56843e-03,8.75738e-03,8.51580e-02,804
144000,4.42502e-01,1.88341e-01,2.24572e-01,6.06054e-03,6.16300e-03,6.84169e-02,809
145000,4.49588e-01,1.84127e-01,2.66780e-01,6.15380e-03,9.20450e-03,8.39554e-02,815
146000,4.47625e-01,1.84634e-01,2.45314e-01,5.92796e-03,8.39468e-03,8.18204e-02,820
147000,4.44731e-01,1.85855e-01,2.27245e-01,6.15494e-03,7.79513e-03,7.59682e-02,826
148000,4.39730e-01,1.96831e-01,2.21847e-01,5.56236e-03,6.42105e-03,6.94005e-02,831
149000,4.42148e-01,1.80129e-01,2.23432e-01,5.60627e-03,6.84879e-03,6.86589e-02,837
150000,4.50841e-01,2.00130e-01,2.54529e-01,6.24826e-03,8.86010e-03,8.43198e-02,842
151000,4.46146e-01,2.03648e-01,2.25762e-01,5.92331e-03,7.33899e-03,7.10075e-02,848
152000,4.44069e-01,2.08492e-01,2.08826e-01,5.20196e-03,6.51699e-03,6.92730e-02,853
153000,4.43209e-01,2.08218e-01,2.16854e-01,5.74575e-03,6.31393e-03,6.93536e-02,859
154000,4.42921e-01,1.96191e-01,2.14615e-01,5.79794e-03,6.09979e-03,6.46398e-02,864
155000,4.45255e-01,1.91418e-01,2.35360e-01,6.07260e-03,7.36955e-03,7.60917e-02,869
